"Episode Name","Episode Number","Synopsis"
"Emissary","S01E01-02","Three years after losing his wife Jennifer in the Battle of Wolf 359, Commander Benjamin Sisko is assigned as the new commander of a plundered space station orbiting the planet of Bajor. Having liberated themselves from sixty years of Cardassian rule, the newly established Bajoran provisional government is seeking Federation assistance for the task of rebuilding their pillaged planet. The discovery of the first stable wormhole into the Gamma Quadrant adds a strategic significance to the station, and when it is moved to the ""mouth"" of the wormhole, it becomes an attractive target for the Cardassians to recapture. The wormhole itself is inhabited by a non-corporeal species that have a religious significance to the Bajoran people to whom they refer as the ""Prophets"". It was prophesied that their ""Celestial Temple"" (the wormhole) would be found by an emissary, who in this case is none other than Commander Sisko himself."
"What You Leave Behind ","S07E25-26","Julian and Ezri wake up together on a day that should change everything. The uprising on Cardassia is the signal for the alliance to begin their final assault on the Dominion. The Cardassian people, however, pay a high price when the Jem'Hadar destroy the Lakarian City with its two million inhabitants. During the battle with the Federation alliance, the Cardassian ships, whose crews have just been notified of the massacre begin to fire on their former allies, the Breen and the Jem'Hadar. The female Founder now summons their ships and troops to Cardassia and she orders to slaughter all Cardassians. Damar, Kira and Garak are captured and are facing their execution, but they are saved by fellow Cardassian patriots. When the group storms the Dominion headquarters, Damar is fatally wounded. Garak kills Weyoun 8 and is pleased to hear that it was the last of his kind. The female Founder is taken prisoner. In the meantime, the Federation fleet has reached Cardassia and is preparing for the ultimate battle against what is left of the Dominion. Odo, however, beams down to Cardassia and links with the female Founder, thereby healing her. She agrees to a capitulation of the Dominion forces who retreat to the Gamma Quadrant. Odo decides to return to the Great Link to cure his people, which Kira sadly accepts. Worf becomes the Federation Ambassador to Qo'noS. O'Brien is about to leave to teach engineering at Starfleet Academy. In the Bajoran Fire Caves, the Pah-wraiths restore Dukat's Cardassian appearance. Sisko enters the scene. With the power of the Kosst Amojan Dukat kills Kai Winn. In a last effort to save Bajor, Sisko grabs Dukat, and they fall into the fire. The Kosst Amojan burn, thereby ensuring that the Pah-wraiths and Dukat have to stay in the caves forever. Sisko finds himself among the Prophets, who tell him that his mission is now finished and he needs rest. He has to stay with the Prophets. On the station, Kira and Jake are standing behind a promenade deck window, looking out at the vastness of space..."
"The Ascent","S05E09","Quark and Odo are on their way to a hearing, when Quark notices a whistling sound in the floor of the runabout. It is a bomb, obviously planted by the Orion Syndicate. They manage to contain the explosion in a transporter beam. Still, the small vessel crash lands on a desolate and cold Class-L planetoid. Quark suggests that they carry the emergency emitter to the top of a high mountain in order to increase its range. The two are already completely exhausted when they discover that the mountain is still days away. Moreover, Odo breaks his leg when the two slide down into a valley. Odo insists that Quark leave him behind. He is prepared to die when the Defiant arrives and beams him up."
"Past Prologue","S01E03","The Bajoran Tahna Los is beamed into DS9 after narrowly evading a pursuing Cardassian warship. Tahna belongs to the Khon-ma, a particularly ruthless terrorist group, and now seeks political asylum. Major Kira, who knows Tahna from her time in the resistance, supports the request in any way possible, acting against Commander Sisko. In the interim the two renegade Klingon sisters from the House of Duras, Lursa and B'Etor, have arrived on the station and meet with Tahna. He tries to enlist Kira's assistance to obtain a runabout but does not reveal his motive. His yet unknown goal is to detonate a bilitrium explosive, which he plans to purchase from the Duras sisters, to seal the entrance to the wormhole, and therefore eliminate the need for a Federation presence on Bajor. But the Duras sisters plan to double-cross Tahna and to deliver him to the Cardassians for a price. Sisko reluctantly allows Kira to accompany Tahna to the rendezvous with the Klingon sisters in the hope of revealing his intended target. Although Tahna manages to briefly elude Sisko and O'Brien, his plan is thwarted when Kira seizes control of the runabout, enters the wormhole, and detonates the device in the Gamma Quadrant."
"A Man Alone","S01E04","Odo is enraged when he meets Ibudan, a Bajoran who was convicted of murdering a Cardassian but was released from prison by the new Bajoran government. When Ibudan is murdered in a holosuite, Odo is the main suspect because evidently no other humanoid entered the holosuite. As a restless mob of the station's denizens gather to confront Odo, Bashir makes the startling discovery that the murder victim is in fact a clone, created and subsequently murdered by the real Ibudan in order to implicate Odo. In a final twist of irony, Ibudan is swiftly apprehended by Odo, and is accordingly charged with the murder of his own clone. Meanwhile, after Jake and his new Ferengi friend, Nog, are caught playing pranks on the promenade, Keiko O'Brien decides to open a school on the station."
"Babel","S01E05","In the midst of being inundated by a spate of maintenance requests, O'Brien inadvertently triggers a device that releases a virus, causing an advanced form of aphasia in his brain that makes him unable to communicate with anyone. As the virus keeps spreading through the food replicators and then mutates into an airborne strain, the station's officers gradually become incapacitated. Even worse, the virus turns out to be lethal. Bashir still finds out that not the Cardassians but the Bajorans created the virus before he is affected too. Kira travels to Bajor and kidnaps the co-creator of the virus, Surmak Ren, by beaming him into her runabout and infecting him as well. When Captain Jaheel tries to escape from the quarantined station and overloads his ship's engines, Odo and Quark have to work together to remove his ship from the docking ring. Surmak Ren soon manages to develop a cure based on Bashir's research."
"Captive Pursuit","S01E06","The station receives its first visitor from the Gamma Quadrant, an unannounced ship carrying a single lifeform, who happened to spot another ship going through the wormhole and followed it. As the visitor's starship is damaged and requires help in repairs, Sisko sends O'Brien to make first contact with the alien, who calls himself Tosk and seems to be nervous about something. When Tosk attempts to break into the station's weapons storage, Odo arrests the alien. Another starship from the Gamma Quadrant arrives and promptly scans the station. The crew of the new ship transport over and attempt to take Tosk forcibly. After a skirmish with station security the leader locates Tosk in his cell. After further negotiations Sisko learns that a ""Tosk"" is a lifeform bread to be hunted by the other aliens, the ""Hunters"". Under the terms of the Prime Directive, he agrees to hand over Tosk to the Hunters, knowing that they would display him in a cage for his failure to escape. O'Brien, however, frees Tosk, so the hunt can continue to everyone's satisfaction."
"Q-Less","S01E07","The runabout Ganges returns to the station with hardly any power and its crew and passenger in danger from lack of life support. Jadzia Dax and another crewman have returned with Vash after finding her in the Gamma Quadrant. With her is Q, who has been hounding Vash as a traveling companion for two years. Vash brings several artifacts to the station that she has acquired in the Gamma Quadrant, among them a remarkable crystal. She makes fast friends with Quark and agrees with the Ferengi profiteer to auction them off. Unbeknownst to the crew, however, the crystal draws energy from the station's power systems, leading to a massive build-up of gravitons that pushes the station towards the wormhole. Using ionized tritium, Dax is able to pinpoint the origin of the gravitons, and Sisko has the artifact beamed into space. There an embryonic lifeform frees itself from the crystal and vanishes into the wormhole."
"Dax","S01E08","Dr. Bashir attempts in vain to avoid the kidnapping of Jadzia Dax by a group of Klaestrons. Only the station's tractor beam can stop their departing ship. Ilon Tandro claims that Curzon Dax committed treason and was responsible for the killing of his father, General Ardelon Tandro, 30 years ago in the civil war on Klaestron IV. He demands the extradition of Jadzia Dax, which to decide about is up to a Bajoran arbiter, Els Renora. Sisko, however, argues that already the warrant is incorrect because if anyone, the former host Curzon or the symbiont Dax but not Jadzia committed a crime. Meanwhile on Klaestron IV, Odo finds out that Curzon was in bed with General Tandro's wife at the time he is said to have sent transmissions to the enemy, so the charges are dropped."
"The Passenger","S01E09","Major Kira and Dr. Bashir are aboard the Rio Grande when they respond to a distress signal sent by a Kobliad ship. They can rescue just the Kobliad security officer, Kajada. Her prisoner, Rao Vantika, grabs Bashir's neck and then dies. Back on the station, Kajada suspects that Vantika is still alive, for he has faked his death more than once. Also, a shipment of deuridium from the Gamma Quadrant is to arrive at the station, a substance essential for the survival of the Kobliad. While a DNA scan confirms that the body is indeed Vantika, Jadzia Dax theorizes that he could have transferred his consciousness to another person by injecting encoded glial cells to this person's body. This person is Dr. Bashir, who is now under the control of Vantika and who has enlisted help from mercenaries to hijack the deuridium freighter. When his plan is being foiled and the ship is secured by the station's tractor beam, Vantika threatens to go to warp, thereby killing Bashir and polluting the system with deuridium. But Jadzia succeeds in modulating the tractor beam with a frequency that would disable Vantika's cells in Bashir's body. After the glial cells have been beamed out, Kajada vaporizes them and thereby everything that is left of Vantika."
